Datum,Vodostaj [cm],Pretok [m³/s],Temperatura vode [°C]
30.08.2023 00:30,48,-,23.3
30.08.2023 00:00,47,-,23.3
29.08.2023 23:30,47,-,23.4
29.08.2023 23:00,47,-,23.4
29.08.2023 22:30,48,-,23.4
29.08.2023 22:00,48,-,23.4
29.08.2023 21:30,48,-,23.4
29.08.2023 21:00,48,-,23.4
29.08.2023 20:30,48,-,23.4
29.08.2023 20:00,48,-,23.5
29.08.2023 19:30,49,-,23.5
29.08.2023 19:00,48,-,23.6
29.08.2023 18:30,48,-,23.6
29.08.2023 18:00,49,-,23.6
29.08.2023 17:30,49,-,23.7
29.08.2023 17:00,49,-,23.8
29.08.2023 16:30,49,-,23.9
29.08.2023 16:00,49,-,23.9
29.08.2023 15:30,49,-,23.8
29.08.2023 15:00,49,-,23.8
29.08.2023 14:30,49,-,23.8
29.08.2023 14:00,49,-,23.9
29.08.2023 13:30,49,-,23.8
29.08.2023 13:00,49,-,23.8
29.08.2023 12:30,50,-,23.7
29.08.2023 12:00,50,-,23.7
29.08.2023 11:30,50,-,23.7
29.08.2023 11:00,50,-,23.7
29.08.2023 10:30,49,-,23.8
29.08.2023 10:00,49,-,23.8
29.08.2023 09:30,49,-,23.8
29.08.2023 09:00,49,-,23.8
29.08.2023 08:30,49,-,23.8
29.08.2023 08:00,49,-,23.8
29.08.2023 07:30,49,-,23.8
29.08.2023 07:00,49,-,23.8
29.08.2023 06:30,49,-,23.8
29.08.2023 06:00,49,-,23.8
29.08.2023 05:30,49,-,23.8
29.08.2023 05:00,50,-,23.8
29.08.2023 04:30,50,-,23.9
29.08.2023 04:00,50,-,23.9
29.08.2023 03:30,50,-,23.9
29.08.2023 03:00,50,-,23.9
29.08.2023 02:30,50,-,23.9
29.08.2023 02:00,50,-,24.0
29.08.2023 01:30,50,-,24.0
29.08.2023 01:00,51,-,24.0
29.08.2023 00:30,51,-,24.0
29.08.2023 00:00,51,-,24.0
28.08.2023 23:30,51,-,24.1
28.08.2023 23:00,51,-,24.1
28.08.2023 22:30,51,-,24.1
28.08.2023 22:00,51,-,24.1
28.08.2023 21:30,52,-,24.1
28.08.2023 21:00,51,-,24.2
28.08.2023 20:30,51,-,24.2
28.08.2023 20:00,51,-,24.2
28.08.2023 19:30,52,-,24.3
28.08.2023 19:00,52,-,24.3
28.08.2023 18:30,52,-,24.3
28.08.2023 18:00,51,-,24.3
28.08.2023 17:30,51,-,24.3
28.08.2023 17:00,51,-,24.3
28.08.2023 16:30,51,-,24.4
28.08.2023 16:00,50,-,24.5
28.08.2023 15:30,48,-,24.5
28.08.2023 15:00,47,-,24.5
28.08.2023 14:30,47,-,24.6
