Datum,Vodostaj [cm],Pretok [mÂ³/s],Temperatura vode [Â°C]
17.08.2023 00:30,77,0.391,12.1
17.08.2023 00:00,77,0.391,12.1
16.08.2023 23:30,77,0.391,12.2
16.08.2023 23:00,77,0.391,12.3
16.08.2023 22:30,77,0.391,12.4
16.08.2023 22:00,77,0.391,12.4
16.08.2023 21:30,77,0.391,12.5
16.08.2023 21:00,77,0.391,12.6
16.08.2023 20:30,77,0.391,12.6
16.08.2023 20:00,77,0.391,12.7
16.08.2023 19:30,77,0.391,12.8
16.08.2023 19:00,77,0.391,12.9
16.08.2023 18:30,77,0.391,13.0
16.08.2023 18:00,77,0.391,13.0
16.08.2023 17:30,77,0.391,13.1
16.08.2023 17:00,77,0.391,13.2
16.08.2023 16:30,77,0.391,13.2
16.08.2023 16:00,77,0.391,13.2
16.08.2023 15:30,76,0.339,13.3
16.08.2023 15:00,77,0.391,13.2
16.08.2023 14:30,77,0.391,13.2
16.08.2023 14:00,77,0.391,13.1
16.08.2023 13:30,77,0.391,12.9
16.08.2023 13:00,77,0.391,12.8
16.08.2023 12:30,77,0.391,12.6
16.08.2023 12:00,77,0.391,12.4
16.08.2023 11:30,76,0.339,12.3
16.08.2023 11:00,77,0.391,12.1
16.08.2023 10:30,77,0.391,12.0
16.08.2023 10:00,77,0.391,11.8
16.08.2023 09:30,77,0.391,11.8
16.08.2023 09:00,78,0.453,11.7
16.08.2023 08:30,78,0.453,11.7
16.08.2023 08:00,78,0.453,11.6
16.08.2023 07:30,78,0.453,11.6
16.08.2023 07:00,78,0.453,11.7
16.08.2023 06:30,78,0.453,11.7
16.08.2023 06:00,78,0.453,11.7
16.08.2023 05:30,78,0.453,11.7
16.08.2023 05:00,77,0.391,11.7
16.08.2023 04:30,77,0.391,11.8
16.08.2023 04:00,77,0.391,11.8
16.08.2023 03:30,77,0.391,11.8
16.08.2023 03:00,78,0.453,11.8
16.08.2023 02:30,78,0.453,11.8
16.08.2023 02:00,78,0.453,11.8
16.08.2023 01:30,78,0.453,11.8
16.08.2023 01:00,78,0.453,11.9
16.08.2023 00:30,78,0.453,11.9
16.08.2023 00:00,78,0.453,11.9
15.08.2023 23:30,78,0.453,12.0
15.08.2023 23:00,78,0.453,12.0
15.08.2023 22:30,78,0.453,12.1
15.08.2023 22:00,78,0.453,12.1
15.08.2023 21:30,78,0.453,12.2
15.08.2023 21:00,78,0.453,12.3
15.08.2023 20:30,78,0.453,12.4
15.08.2023 20:00,78,0.453,12.4
15.08.2023 19:30,78,0.453,12.6
15.08.2023 19:00,78,0.453,12.7
15.08.2023 18:30,78,0.453,12.8
15.08.2023 18:00,78,0.453,12.8
15.08.2023 17:30,78,0.453,12.9
15.08.2023 17:00,78,0.453,13.0
15.08.2023 16:30,78,0.453,13.0
15.08.2023 16:00,78,0.453,13.1
15.08.2023 15:30,78,0.453,13.1
15.08.2023 15:00,78,0.453,13.1
15.08.2023 14:30,78,0.453,13.0
15.08.2023 14:00,78,0.453,12.9
15.08.2023 13:30,78,0.453,12.8
15.08.2023 13:00,78,0.453,12.7
15.08.2023 12:30,78,0.453,12.5
15.08.2023 12:00,78,0.453,12.4
15.08.2023 11:30,78,0.453,12.2
15.08.2023 11:00,78,0.453,12.0
15.08.2023 10:30,78,0.453,11.9
15.08.2023 10:00,78,0.453,11.7
15.08.2023 09:30,78,0.453,11.7
15.08.2023 09:00,78,0.453,11.6
15.08.2023 08:30,79,0.525,11.6
15.08.2023 08:00,79,0.525,11.5
15.08.2023 07:30,79,0.525,11.5
15.08.2023 07:00,79,0.525,11.5
15.08.2023 06:30,79,0.525,11.5
15.08.2023 06:00,79,0.525,11.6
15.08.2023 05:30,79,0.525,11.6
15.08.2023 05:00,78,0.453,11.6
15.08.2023 04:30,78,0.453,11.6
15.08.2023 04:00,78,0.453,11.6
15.08.2023 03:30,78,0.453,11.6
15.08.2023 03:00,78,0.453,11.6
15.08.2023 02:30,78,0.453,11.6
15.08.2023 02:00,78,0.453,11.6
15.08.2023 01:30,78,0.453,11.7
15.08.2023 01:00,78,0.453,11.7
15.08.2023 00:30,77,0.391,11.7
15.08.2023 00:00,77,0.391,11.7
14.08.2023 23:30,77,0.391,11.7
14.08.2023 23:00,78,0.453,11.7
14.08.2023 22:30,78,0.453,11.7
14.08.2023 22:00,79,0.525,11.7
