Datum,Vodostaj [cm],Temperatura vode [Â°C]
17.08.2023 01:00,-,-
17.08.2023 00:30,238,27.6
17.08.2023 00:00,247,27.6
16.08.2023 23:30,256,27.7
16.08.2023 23:00,262,27.7
16.08.2023 22:30,264,27.7
16.08.2023 22:00,264,27.8
16.08.2023 21:30,262,27.8
16.08.2023 21:00,258,27.9
16.08.2023 20:30,254,28.0
16.08.2023 20:00,248,28.2
16.08.2023 19:30,241,28.2
16.08.2023 19:00,232,28.1
16.08.2023 18:30,223,28.1
16.08.2023 18:00,217,28.1
16.08.2023 17:30,212,28.1
16.08.2023 17:00,210,28.0
16.08.2023 16:30,208,28.0
16.08.2023 16:00,209,27.9
16.08.2023 15:30,212,27.5
16.08.2023 15:00,214,27.2
16.08.2023 14:30,218,27.0
16.08.2023 14:00,224,26.9
16.08.2023 13:30,230,26.8
16.08.2023 13:00,237,26.7
16.08.2023 12:30,245,26.7
16.08.2023 12:00,250,26.7
16.08.2023 11:30,254,26.8
16.08.2023 11:00,255,26.6
16.08.2023 10:30,253,26.5
16.08.2023 10:00,250,26.5
16.08.2023 09:30,244,26.5
16.08.2023 09:00,236,26.6
16.08.2023 08:30,228,26.7
16.08.2023 08:00,220,26.9
16.08.2023 07:30,209,27.1
16.08.2023 07:00,198,27.2
16.08.2023 06:30,187,27.2
16.08.2023 06:00,178,27.2
16.08.2023 05:30,172,27.3
16.08.2023 05:00,167,27.4
16.08.2023 04:30,164,27.4
16.08.2023 04:00,165,27.4
16.08.2023 03:30,170,27.5
16.08.2023 03:00,176,27.5
16.08.2023 02:30,186,27.5
16.08.2023 02:00,196,27.6
16.08.2023 01:30,208,27.6
16.08.2023 01:00,223,27.6
16.08.2023 00:30,235,27.6
16.08.2023 00:00,247,27.7
15.08.2023 23:30,256,27.7
15.08.2023 23:00,264,27.6
15.08.2023 22:30,267,27.7
15.08.2023 22:00,268,27.8
15.08.2023 21:30,267,27.8
15.08.2023 21:00,264,27.9
15.08.2023 20:30,259,27.9
15.08.2023 20:00,254,27.9
15.08.2023 19:30,247,27.9
15.08.2023 19:00,239,27.9
15.08.2023 18:30,231,28.0
15.08.2023 18:00,222,28.0
15.08.2023 17:30,214,27.9
15.08.2023 17:00,209,27.9
15.08.2023 16:30,206,27.8
15.08.2023 16:00,205,27.8
15.08.2023 15:30,205,27.7
15.08.2023 15:00,207,27.6
15.08.2023 14:30,212,27.6
15.08.2023 14:00,220,27.4
15.08.2023 13:30,226,26.6
15.08.2023 13:00,234,26.4
15.08.2023 12:30,240,26.2
15.08.2023 12:00,248,26.3
15.08.2023 11:30,252,26.4
15.08.2023 11:00,256,26.4
15.08.2023 10:30,257,26.5
15.08.2023 10:00,256,26.6
15.08.2023 09:30,251,26.6
15.08.2023 09:00,244,26.6
15.08.2023 08:30,236,26.7
