Datum,Temperatura vode [°C],ViÅ¡ina valov [m],Vrednost periode valov [s],Smer valov [°],Hitrost morskega toka [cm/s],Smer morskega toka [°],Maksimalna viÅ¡ina valov [m]
30.08.2023 01:00,-,-,-,-,-,-,-
30.08.2023 00:30,26.1,0.40,2,71,20,253,0.70
30.08.2023 00:00,26.1,0.36,2,91,19,238,0.54
29.08.2023 23:30,26.1,0.34,2,262,18,256,0.57
29.08.2023 23:00,26.1,0.27,2,207,15,251,0.44
29.08.2023 22:30,26.1,0.23,2,322,8,312,0.39
29.08.2023 22:00,26.2,0.27,2,325,5,238,0.41
29.08.2023 21:30,26.2,0.27,2,281,10,179,0.40
29.08.2023 21:00,26.3,0.30,2,255,2,281,0.51
29.08.2023 20:30,26.2,0.34,2,241,7,51,0.49
29.08.2023 20:00,26.2,0.31,2,223,7,331,0.51
29.08.2023 19:30,26.2,0.30,2,265,11,336,0.45
29.08.2023 19:00,26.2,0.22,2,263,16,357,0.32
29.08.2023 18:30,26.2,0.19,2,230,25,5,0.28
29.08.2023 18:00,26.2,0.22,2,253,18,10,0.31
29.08.2023 17:30,26.2,0.25,2,249,15,11,0.35
29.08.2023 17:00,26.2,0.23,2,189,11,256,0.33
29.08.2023 16:30,26.2,0.26,2,230,13,231,0.39
29.08.2023 16:00,26.2,0.37,2,10,10,231,0.67
29.08.2023 15:30,26.3,0.39,2,321,11,208,0.61
29.08.2023 15:00,26.3,0.22,2,261,12,198,0.37
29.08.2023 14:30,26.5,0.18,2,244,2,227,0.25
29.08.2023 14:00,26.3,0.21,2,218,5,260,0.28
29.08.2023 13:30,26.2,0.19,2,222,3,112,0.28
29.08.2023 13:00,26.2,0.24,2,250,6,65,0.40
29.08.2023 12:30,26.1,0.26,2,227,10,13,0.39
29.08.2023 12:00,26.2,0.24,2,221,4,130,0.34
29.08.2023 11:30,26.1,0.26,2,261,4,111,0.35
29.08.2023 11:00,26.0,0.29,3,240,8,68,0.44
29.08.2023 10:30,26.0,0.33,3,230,13,46,0.52
