Datum,Temperatura vode [Â°C],ViÅ¡ina valov [m],Vrednost periode valov [s],Smer valov [Â°],Hitrost morskega toka [cm/s],Smer morskega toka [Â°],Maksimalna viÅ¡ina valov [m]
17.08.2023 01:00,-,-,-,-,-,-,-
17.08.2023 00:30,26.0,0.21,2,71,11,220,0.39
17.08.2023 00:00,26.1,0.18,2,139,23,262,0.26
16.08.2023 23:30,26.2,0.19,2,316,16,236,0.33
16.08.2023 23:00,26.3,0.16,2,254,12,222,0.28
16.08.2023 22:30,26.3,0.18,2,136,18,240,0.22
16.08.2023 22:00,26.2,0.18,2,321,13,227,0.29
16.08.2023 21:30,26.2,0.19,2,274,16,229,0.33
16.08.2023 21:00,26.4,0.21,2,16,12,202,0.30
16.08.2023 20:30,26.5,0.24,2,312,14,163,0.35
16.08.2023 20:00,26.5,0.15,2,207,12,140,0.27
16.08.2023 19:30,26.7,0.12,2,305,15,125,0.16
16.08.2023 19:00,26.7,0.13,2,125,17,86,0.23
16.08.2023 18:30,26.7,0.14,2,276,19,92,0.26
16.08.2023 18:00,26.7,0.17,2,62,25,82,0.28
16.08.2023 17:30,26.7,0.19,2,299,27,86,0.35
16.08.2023 17:00,26.8,0.18,2,206,27,94,0.29
16.08.2023 16:30,26.8,0.17,2,26,23,98,0.25
16.08.2023 16:00,26.5,0.16,2,207,24,122,0.27
16.08.2023 15:30,26.3,0.13,2,335,22,132,0.20
16.08.2023 15:00,26.2,0.13,2,80,20,137,0.22
16.08.2023 14:30,26.2,0.16,2,225,19,152,0.22
16.08.2023 14:00,26.4,0.14,2,95,15,157,0.20
16.08.2023 13:30,26.4,0.14,2,30,16,133,0.24
16.08.2023 13:00,26.1,0.14,2,336,13,205,0.26
16.08.2023 12:30,25.9,0.14,2,228,11,201,0.19
16.08.2023 12:00,25.9,0.15,2,147,13,224,0.24
16.08.2023 11:30,25.9,0.19,2,179,13,233,0.26
16.08.2023 11:00,25.9,0.19,2,322,19,222,0.34
16.08.2023 10:30,25.9,0.25,2,251,7,232,0.34
16.08.2023 10:00,25.9,0.31,2,96,15,241,0.58
16.08.2023 09:30,25.9,0.35,2,296,15,214,0.55
16.08.2023 09:00,25.9,0.32,2,231,21,234,0.48
16.08.2023 08:30,25.8,0.23,2,196,21,235,0.33
16.08.2023 08:00,25.7,0.20,2,15,22,245,0.29
16.08.2023 07:30,25.8,0.25,2,307,30,245,0.38
16.08.2023 07:00,25.9,0.22,2,19,36,256,0.35
16.08.2023 06:30,26.1,0.24,2,103,37,253,0.35
16.08.2023 06:00,26.2,0.19,2,170,15,255,0.31
16.08.2023 05:30,26.3,0.16,2,23,28,248,0.24
16.08.2023 05:00,26.3,0.11,2,332,27,245,0.18
16.08.2023 04:30,26.3,0.09,2,152,23,272,0.16
16.08.2023 04:00,26.3,0.09,2,315,18,286,0.15
16.08.2023 03:30,26.4,0.11,2,126,4,307,0.17
16.08.2023 03:00,26.5,0.12,2,307,8,271,0.18
16.08.2023 02:30,26.5,0.11,2,3,20,245,0.16
16.08.2023 02:00,26.5,0.12,2,217,16,238,0.17
16.08.2023 01:30,26.5,0.14,2,322,9,233,0.22
16.08.2023 01:00,26.5,0.16,2,51,12,231,0.26
16.08.2023 00:30,26.6,0.17,2,280,18,240,0.27
16.08.2023 00:00,26.5,0.15,2,222,18,245,0.23
15.08.2023 23:30,26.6,0.18,2,269,16,238,0.28
15.08.2023 23:00,26.6,0.17,2,360,16,242,0.26
15.08.2023 22:30,26.6,0.18,2,122,16,263,0.26
15.08.2023 22:00,26.6,0.19,2,65,8,263,0.30
15.08.2023 21:30,26.6,0.21,2,113,4,17,0.31
15.08.2023 21:00,26.8,0.22,2,54,9,90,0.32
15.08.2023 20:30,26.8,0.21,2,37,10,82,0.33
15.08.2023 20:00,26.7,0.20,2,96,18,56,0.28
15.08.2023 19:30,26.7,0.19,2,272,7,44,0.31
15.08.2023 19:00,26.7,0.14,2,295,10,41,0.23
15.08.2023 18:30,26.6,0.16,2,168,18,75,0.27
15.08.2023 18:00,26.8,0.16,2,203,23,75,0.26
15.08.2023 17:30,26.9,0.16,2,245,25,83,0.24
15.08.2023 17:00,26.8,0.14,2,342,25,88,0.19
15.08.2023 16:30,26.7,0.18,2,104,25,88,0.25
15.08.2023 16:00,26.5,0.18,2,182,24,100,0.24
15.08.2023 15:30,26.6,0.17,2,162,28,90,0.25
15.08.2023 15:00,26.5,0.17,2,349,24,96,0.26
15.08.2023 14:30,26.4,0.15,2,262,25,85,0.21
15.08.2023 14:00,26.0,0.16,2,223,19,100,0.28
15.08.2023 13:30,25.9,0.14,2,201,13,107,0.25
15.08.2023 13:00,26.0,0.19,2,225,11,105,0.33
15.08.2023 12:30,25.8,0.17,2,76,4,245,0.25
15.08.2023 12:00,25.8,0.18,2,102,7,215,0.27
15.08.2023 11:30,25.8,0.21,2,120,13,237,0.38
