Datum,Temperatura vode [°C],Smer morskega toka 2m pod gladino [°],Hitrost morskega toka 2m pod glad. [cm/s],Smer morskega toka 10m pod gladino [°],Hitrost morskega toka 10m pod glad. [cm/s],ZnaÄilna viÅ¡ina valov [m],Maksimalna viÅ¡ina valov [m],Smer valovanja [°],Perioda valovanja [s]
31.07.2023 02:00,26.0,308,11,91,13,0.04,0.00,241,3
31.07.2023 03:00,25.9,343,14,112,5,0.04,0.00,14,3
31.07.2023 04:00,25.9,333,12,93,9,0.08,0.00,29,2
31.07.2023 05:00,25.9,349,9,77,7,0.08,0.00,105,3
31.07.2023 06:00,25.8,35,6,37,2,0.12,0.00,55,2
31.07.2023 07:00,25.7,80,8,0,2,0.12,0.00,44,2
31.07.2023 08:00,25.7,65,14,35,7,0.08,0.00,22,2
31.07.2023 09:00,25.8,52,12,315,5,0.12,0.00,36,2
31.07.2023 10:00,25.8,63,8,28,5,0.16,0.00,58,3
31.07.2023 11:00,26.1,90,1,15,9,0.08,0.00,25,3
31.07.2023 12:00,26.3,323,5,338,13,0.04,0.00,302,3
31.07.2023 13:00,26.3,350,7,349,6,0.08,0.00,214,3
31.07.2023 14:00,26.5,326,7,1,11,0.08,0.00,304,3
31.07.2023 15:00,26.6,308,7,27,11,0.08,0.00,257,3
31.07.2023 16:00,26.7,333,9,28,12,0.08,0.00,325,3
31.07.2023 17:00,26.6,349,11,350,13,0.08,0.00,287,3
31.07.2023 18:00,26.6,17,11,321,7,0.08,0.00,270,3
31.07.2023 19:00,26.6,346,12,35,12,0.08,0.00,266,2
31.07.2023 20:00,26.6,90,1,80,12,0.12,0.00,291,2
31.07.2023 21:00,26.5,41,5,359,9,0.12,0.00,347,3
31.07.2023 22:00,26.3,38,6,76,9,0.08,0.00,218,2
31.07.2023 23:00,26.3,4,5,294,5,0.08,0.00,245,3
01.08.2023 00:00,26.2,328,12,319,8,0.08,0.00,262,3
01.08.2023 01:00,26.0,347,4,338,11,0.04,0.00,198,3
01.08.2023 02:00,25.9,34,13,359,8,0.04,0.00,283,3
01.08.2023 03:00,25.9,1,7,1,7,0.04,0.00,227,3
01.08.2023 04:00,25.9,10,13,353,5,0.04,0.00,24,3
01.08.2023 05:00,25.9,14,15,45,6,0.08,0.00,201,3
01.08.2023 06:00,25.9,4,18,18,13,0.04,0.00,143,3
01.08.2023 07:00,25.9,32,20,15,6,0.08,0.00,288,3
01.08.2023 08:00,25.9,14,18,27,16,0.04,0.00,280,3
01.08.2023 09:00,25.9,37,9,27,20,0.08,0.00,216,3
01.08.2023 10:00,26.0,13,9,35,12,0.08,0.00,35,3
01.08.2023 11:00,26.1,11,13,10,11,0.04,0.00,333,3
01.08.2023 12:00,26.2,352,15,323,7,0.08,0.00,213,3
01.08.2023 13:00,26.2,28,6,22,15,0.08,0.00,94,3
01.08.2023 14:00,26.3,60,5,314,7,0.08,0.00,358,3
01.08.2023 15:00,26.3,354,11,347,14,0.12,0.00,238,3
01.08.2023 16:00,26.3,357,5,332,12,0.23,0.00,236,3
01.08.2023 17:00,26.2,38,11,41,9,0.43,0.74,231,3
01.08.2023 18:00,26.1,44,18,59,11,0.35,0.35,236,3
01.08.2023 19:00,26.1,59,8,93,8,0.27,0.31,247,3
01.08.2023 20:00,26.1,24,16,34,9,0.23,0.00,257,3
01.08.2023 21:00,26.1,93,11,42,8,0.23,0.00,264,3
01.08.2023 22:00,25.9,181,8,72,7,0.55,0.74,352,3
01.08.2023 23:00,26.0,228,18,28,1,0.35,0.27,40,3
02.08.2023 00:00,25.9,208,12,308,11,0.43,0.43,60,3
02.08.2023 01:00,25.9,287,13,295,12,0.43,0.47,60,3
02.08.2023 02:00,25.9,271,19,284,13,0.47,0.47,52,3
02.08.2023 03:00,25.9,271,14,112,15,0.47,0.62,41,3
02.08.2023 04:00,25.9,295,14,228,8,0.39,0.43,60,3
02.08.2023 05:00,25.8,349,19,112,8,0.31,0.27,65,2
02.08.2023 06:00,25.7,18,16,107,5,0.20,0.00,40,2
02.08.2023 07:00,25.7,13,20,146,6,0.23,0.00,37,3
02.08.2023 08:00,25.6,63,7,53,12,0.20,0.00,49,2
02.08.2023 09:00,25.7,73,20,91,18,0.23,0.00,46,3
02.08.2023 10:00,25.8,49,18,73,16,0.16,0.00,31,3
02.08.2023 11:00,25.8,42,21,103,12,0.12,0.00,1,3
02.08.2023 12:00,25.9,66,11,77,8,0.12,0.00,314,3
02.08.2023 13:00,26.2,66,13,53,11,0.12,0.00,108,3
02.08.2023 14:00,26.2,68,5,96,6,0.08,0.00,225,3
02.08.2023 15:00,26.1,236,8,22,4,0.12,0.00,217,3
02.08.2023 16:00,26.1,141,5,345,6,0.08,0.00,196,3
02.08.2023 17:00,26.3,301,5,346,12,0.08,0.00,209,3
02.08.2023 18:00,26.3,27,2,359,16,0.08,0.00,307,3
02.08.2023 19:00,26.5,4,11,22,13,0.08,0.00,11,3
02.08.2023 20:00,26.5,0,19,22,19,0.08,0.00,295,3
02.08.2023 21:00,26.4,359,15,34,12,0.12,0.00,274,4
