Datum,Temperatura vode [Â°C],Smer morskega toka 2m pod gladino [Â°],Hitrost morskega toka 2m pod glad. [cm/s],Smer morskega toka 10m pod gladino [Â°],Hitrost morskega toka 10m pod glad. [cm/s],ZnaÄilna viÅ¡ina valov [m],Maksimalna viÅ¡ina valov [m],Smer valovanja [Â°],Perioda valovanja [s]
17.08.2023 01:00,-,-,-,-,-,-,-,-,-
17.08.2023 00:00,26.5,267,19,114,5,0.08,0.00,264,3
16.08.2023 23:00,26.6,281,8,129,4,0.08,0.00,316,3
16.08.2023 22:00,26.7,156,12,84,13,0.12,0.00,13,3
16.08.2023 21:00,26.8,132,12,87,14,0.12,0.00,311,3
16.08.2023 20:00,27.0,176,4,89,14,0.12,0.00,40,2
16.08.2023 19:00,27.1,72,11,52,5,0.12,0.00,292,3
16.08.2023 18:00,27.0,31,8,86,8,0.12,0.00,259,3
16.08.2023 17:00,27.0,80,11,121,6,0.12,0.00,156,3
16.08.2023 16:00,27.0,80,7,354,7,0.08,0.00,72,3
16.08.2023 15:00,27.0,84,9,170,1,0.12,0.00,295,3
16.08.2023 14:00,26.8,46,4,0,9,0.08,0.00,313,3
16.08.2023 13:00,26.6,295,4,128,6,0.08,0.00,131,3
16.08.2023 12:00,26.3,51,5,31,9,0.08,0.00,215,3
16.08.2023 11:00,26.0,349,8,30,9,0.04,0.00,56,3
16.08.2023 10:00,25.8,292,7,58,8,0.12,0.00,359,3
16.08.2023 09:00,25.7,283,4,60,15,0.08,0.00,61,3
16.08.2023 08:00,25.8,49,7,89,14,0.12,0.00,285,3
16.08.2023 07:00,25.8,112,9,90,11,0.08,0.00,349,2
16.08.2023 06:00,25.8,84,11,121,5,0.04,0.00,23,2
16.08.2023 05:00,25.8,52,7,101,12,0.08,0.00,32,2
16.08.2023 04:00,25.9,15,5,120,8,0.04,0.00,6,2
16.08.2023 03:00,25.9,250,2,142,13,0.04,0.00,354,2
16.08.2023 02:00,26.0,285,2,101,5,0.08,0.00,302,2
16.08.2023 01:00,26.1,328,4,91,7,0.12,0.00,347,2
16.08.2023 00:00,26.2,162,1,115,4,0.12,0.00,297,2
15.08.2023 23:00,26.2,90,7,87,5,0.12,0.00,344,2
15.08.2023 22:00,26.3,76,11,89,8,0.08,0.00,318,3
15.08.2023 21:00,26.4,117,11,22,13,0.16,0.00,287,3
