Datum,Vodostaj [cm],Pretok [mÂ³/s],Temperatura vode [Â°C]
17.08.2023 00:30,138,214,18.2
17.08.2023 00:00,142,223,18.3
16.08.2023 23:30,147,234,18.3
16.08.2023 23:00,150,241,18.4
16.08.2023 22:30,148,236,18.4
16.08.2023 22:00,145,230,18.5
16.08.2023 21:30,143,225,18.6
16.08.2023 21:00,141,220,18.7
16.08.2023 20:30,141,220,18.8
16.08.2023 20:00,141,220,18.9
16.08.2023 19:30,140,218,19.0
16.08.2023 19:00,137,212,19.0
16.08.2023 18:30,134,205,19.0
16.08.2023 18:00,136,209,19.0
16.08.2023 17:30,140,218,19.0
16.08.2023 17:00,142,223,18.9
16.08.2023 16:30,141,220,18.9
16.08.2023 16:00,141,220,18.9
16.08.2023 15:30,144,227,18.9
16.08.2023 15:00,148,236,18.8
16.08.2023 14:30,146,232,18.8
16.08.2023 14:00,143,225,18.6
16.08.2023 13:30,140,218,18.5
16.08.2023 13:00,139,216,18.4
16.08.2023 12:30,139,216,18.3
16.08.2023 12:00,140,218,18.2
16.08.2023 11:30,140,218,18.1
16.08.2023 11:00,140,218,17.9
16.08.2023 10:30,141,220,17.8
16.08.2023 10:00,143,225,17.7
16.08.2023 09:30,145,230,17.6
16.08.2023 09:00,145,230,17.5
16.08.2023 08:30,144,227,17.4
16.08.2023 08:00,143,225,17.4
16.08.2023 07:30,142,223,17.3
16.08.2023 07:00,143,225,17.3
16.08.2023 06:30,145,230,17.3
16.08.2023 06:00,145,230,17.3
16.08.2023 05:30,145,230,17.3
16.08.2023 05:00,142,223,17.4
16.08.2023 04:30,140,218,17.4
16.08.2023 04:00,140,218,17.4
16.08.2023 03:30,140,218,17.4
16.08.2023 03:00,141,220,17.5
16.08.2023 02:30,142,223,17.5
16.08.2023 02:00,143,225,17.5
16.08.2023 01:30,143,225,17.6
16.08.2023 01:00,143,225,17.6
16.08.2023 00:30,143,225,17.6
16.08.2023 00:00,143,225,17.7
15.08.2023 23:30,142,223,17.7
15.08.2023 23:00,141,220,17.7
15.08.2023 22:30,140,218,17.8
15.08.2023 22:00,140,218,17.9
15.08.2023 21:30,141,220,18.1
15.08.2023 21:00,142,223,18.1
15.08.2023 20:30,144,227,18.2
15.08.2023 20:00,145,230,18.3
15.08.2023 19:30,146,232,18.4
15.08.2023 19:00,148,236,18.4
15.08.2023 18:30,149,239,18.5
15.08.2023 18:00,149,239,18.5
15.08.2023 17:30,149,239,18.5
15.08.2023 17:00,147,234,18.4
15.08.2023 16:30,146,232,18.4
15.08.2023 16:00,146,232,18.4
15.08.2023 15:30,147,234,18.3
15.08.2023 15:00,148,236,18.2
15.08.2023 14:30,149,239,18.2
15.08.2023 14:00,151,243,18.1
15.08.2023 13:30,152,246,17.8
15.08.2023 13:00,152,246,17.7
15.08.2023 12:30,152,246,17.6
15.08.2023 12:00,151,243,17.5
15.08.2023 11:30,150,241,17.4
15.08.2023 11:00,150,241,17.3
15.08.2023 10:30,149,239,17.2
15.08.2023 10:00,148,236,17.1
15.08.2023 09:30,148,236,17.0
15.08.2023 09:00,148,236,17.0
15.08.2023 08:30,148,236,16.9
15.08.2023 08:00,148,236,16.9
15.08.2023 07:30,150,241,16.9
15.08.2023 07:00,152,246,16.8
15.08.2023 06:30,153,248,16.9
15.08.2023 06:00,153,248,16.9
15.08.2023 05:30,151,243,16.9
15.08.2023 05:00,151,243,16.9
15.08.2023 04:30,151,243,16.9
15.08.2023 04:00,150,241,16.9
15.08.2023 03:30,149,239,17.0
15.08.2023 03:00,148,236,17.0
15.08.2023 02:30,148,236,17.0
15.08.2023 02:00,149,239,17.1
15.08.2023 01:30,149,239,17.1
15.08.2023 01:00,150,241,17.1
15.08.2023 00:30,149,239,17.2
15.08.2023 00:00,149,239,17.2
14.08.2023 23:30,149,239,17.2
14.08.2023 23:00,150,241,17.3
14.08.2023 22:30,150,241,17.3
14.08.2023 22:00,150,241,17.4
14.08.2023 21:30,150,241,17.5
14.08.2023 21:00,152,246,17.5
14.08.2023 20:30,154,250,17.6
14.08.2023 20:00,155,252,17.7
14.08.2023 19:30,156,255,17.8
14.08.2023 19:00,156,255,17.8
14.08.2023 18:30,157,257,17.9
14.08.2023 18:00,158,259,17.9
14.08.2023 17:30,156,255,17.9
14.08.2023 17:00,156,255,17.9
14.08.2023 16:30,154,250,17.8
14.08.2023 16:00,153,248,17.8
14.08.2023 15:30,152,246,17.7
14.08.2023 15:00,153,248,17.6
14.08.2023 14:30,156,255,17.5
14.08.2023 14:00,158,259,17.4
14.08.2023 13:30,157,257,17.3
14.08.2023 13:00,157,257,17.2
14.08.2023 12:30,156,255,17.0
14.08.2023 12:00,156,255,16.9
