Ime,Reka,ID
Gornja Radgona I,Mura,H1060
Petanjci,Mura,H1070
Cankova,Kuènica,H1100
Pristava,Šèavnica,H1140
Nuskova,Ledava,H1165
Polana I,Ledava,H1220
Èentiba,Ledava,H1260
Martjanci,Martjanski potok,H1300
Kobilje I,Kobiljski potok,H1312
Središèe,Ivanjševski potok,H1335
Hodoš I,Velika Krka,H1355
Èrneèe,Drava,H2005
Ptuj,Drava,H2110
Borl I,Drava,H2150
Zavrè,Drava,H2160
Èrna,Meža,H2220
Otiški Vrh I,Meža,H2250
Dovže II,Mislinja,H2372
Otiški Vrh I,Mislinja,H2390
Stari trg I,Suhodolnica,H2420
Muta I,Bistrica,H2432
Ruta,Radoljna,H2530
Zreèe,Dravinja,H2600
Loèe,Dravinja,H2620
Makole,Dravinja,H2640
Videm,Dravinja,H2652
Perovec,Oplotnica,H2667
Spodnja Ložnica,Ložnica,H2693
Podlehnik I,Rogatnica,H2719
Tržec,Polskava,H2754
Ranca,Pesnica,H2830
Goèova,Pesnica,H2880
Zamušani I,Pesnica,H2900
Kranjska Gora I,Sava Dolinka,H3014
Jesenice,Sava Dolinka,H3060
Blejski most,Sava Dolinka,H3080
Podhom,Radovna,H3180
Sveti Janez,Sava Bohinjka,H3200
Bodešèe,Sava Bohinjka,H3250
Ukanc,Savica,H3260
Stara Fužina II,Mostnica,H3300
Bohinjska Bistrica,Bistrica,H3320
Mlino I,Jezernica,H3400
Radovljica,Sava,H3420
Okroglo,Sava,H3465
Medno,Sava,H3530
Šentjakob,Sava,H3570
Litija,Sava,H3660
Hrastnik,Sava,H3725
Èatež I,Sava,H3850
Jesenice na Dolenjskem,Sava,H3900
Ovsiše II,Lipnica,H4025
Preska,Tržiška Bistrica,H4050
Kokra I,Kokra,H4120
Kranj II,Kokra,H4155
Suha I,Sora,H4200
Medvode II,Sora,H4209
Žiri III,Poljanska Sora,H4222
Zminec,Poljanska Sora,H4230
Železniki,Selška Sora,H4270
Vešter,Selška Sora,H4298
Kamnik I,Kamniška Bistrica,H4400
Vir,Kamniška Bistrica,H4430
Bišèe,Kamniška Bistrica,H4445
Nevlje I,Nevljica,H4480
Vir,Raèa,H4515
Podreèje,Raèa,H4520
Topole,Pšata,H4570
Loka,Pšata,H4575
Zagorje,Medija,H4626
Žebnik,Sopota,H4650
Martinja vas II,Mirna,H4671
Jelovec,Mirna,H4695
Metni Vrh,Sevnièna,H4706
Rogatec,Sotla,H4710
Rakovec,Sotla,H4750
Sodna vas II,Mestinjšèica,H4770
Zagaj II,Bistrica,H4791
Petrina,Kolpa,H4820
Sodevci,Kolpa,H4828
Metlika,Kolpa,H4860
Livold I,Rinža,H4960
Gradac I,Lahinja,H4969
Vrhnika,Ljubljanica,H5030
Moste I,Ljubljanica,H5078
Verd I,Ljubija,H5240
Bistra I,Bistra,H5270
Borovnica,Borovnišèica,H5330
Iška vas,Iška,H5425
Ig,Ižica,H5440
Bokalce,Gradašèica,H5479
Dvor,Gradašèica,H5500
Razori,Šujica,H5540
Cerknica I,Cerknišèica,H5770
Prestranek,Pivka,H5800
Mali Otok,Nanošèica,H5840
Hasberg,Unica,H5880
Malni,Malenšèica,H5910
Logatec,Logašèica,H5940
Solèava I,Savinja,H6020
Nazarje,Savinja,H6060
Letuš I,Savinja,H6068
Celje II,Savinja,H6140
Laško,Savinja,H6200
Veliko Širje I,Savinja,H6210
Luèe,Luènica,H6220
Kraše,Dreta,H6240
Velenje,Paka,H6280
Šoštanj,Paka,H6300
Reèica,Paka,H6340
Gaberke,Velunja,H6415
Dolenja vas II,Bolska,H6550
Levec I,Ložnica,H6630
Èrnolica,Voglajna,H6691
Celje II,Voglajna,H6720
Polže,Hudinja,H6770
Škofja vas,Hudinja,H6790
Vodiško I,Graènica,H6835
Podbukovje I,Krka,H7029
Soteska,Krka,H7060
Gorenja Gomila,Krka,H7110
Podboèje,Krka,H7160
Mlaèevo,Grosupeljšèica,H7200
Rašica,Rašica,H7220
Ivanèna Gorica,Višnjica,H7235
Meniška vas I,Radešca,H7272
Rožni Vrh I,Temenica,H7308
Preèna,Preèna,H7340
Škocjan,Radulja,H7380
Sodražica,Bistrica,H7440
Prigorica I,Ribnica,H7488
Kršovec I,Soèa,H8031
Log Èezsoški,Soèa,H8060
Kobarid I,Soèa,H8080
Solkan,Soèa,H8180
Žaga,Uèja,H8270
Tolmin I,Tolminka,H8332
Podroteja I,Idrijca,H8350
Podroteja,Idrijca-kanal,H8351
Hotešk,Idrijca,H8450
Cerkno,Cerknica,H8454
Dolenja Trebuša I,Trebuša,H8478
Baèa pri Modreju,Baèa,H8500
Nova Gorica I,Koren,H8545
Vipava II,Vipava,H8561
Dolenje,Vipava,H8565
Zalošèe,Vipava,H8591
Miren I,Vipava,H8601
Podnanos,Moèilnik,H8610
Ajdovšèina I,Hubelj,H8630
Branik,Branica,H8640
Volèja Draga,Lijak,H8660
Bezovljak,Vogršèek,H8670
Neblo,Reka,H8680
Golo Brdo,Idrija,H8690
Neblo,Kožbanjšèek,H8700
Potoki,Nadiža,H8710
Trpèane,Reka,H9015
Trnovo,Reka,H9030
Cerkvenikov mlin,Reka,H9050
Škocjan II,Reka,H9077
Ilirska Bistrica,Bistrica,H9100
Zareèica,Molja,H9108
Kubed II,Rižana,H9210
Dekani,Rižana,H9240
Šalara,Badaševica,H9275
Pišine I,Drnica,H9280
Podkaštel,Dragonja,H9300
Sveti Duh,Bohinjsko jezero,H3280
Mlino,Blejsko jezero,H3350
Kamin,Ljubljanica,H5040
Gorenje Jezero,Stržen,H5670
Dolenje Jezero,Stržen,H5680
Postojnska jama,Pivka,H5820
Medlog,Savinja,H6120
Blate,Rakitnica,H7498
Koper,Jadransko morje,H9350
OB Piran (NIB),Jadransko morje,H9400
Debeli Rtiè (Zora),Jadransko morje,H9410
